AIRLINE_ID,UNIQUE_CARRIER_NAME,UNIQUE_CARRIER,UNIQUE_CARRIER_ENTITY
20409,JetBlue Airways,B6,6673
21171,Virgin America,VX,1006
21080,Tradewind Aviation,04Q,1126
20354,Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways,AJQ,6081
20201,Ameristar Air Cargo,AMQ,6055
20368,Allegiant Air,G4,6035
21352,Avjet Corporation,0WQ,1150
19805,American Airlines Inc.,AA,0A050
19790,Delta Air Lines Inc.,DL,1260
20402,Miami Air International,GL,6690
19977,United Air Lines Inc.,UA,0A875
19977,United Air Lines Inc.,UA,10877
19393,Southwest Airlines Co.,WN,6725
19393,Southwest Airlines Co.,WN,11033
21652,"Jet Aviation Flight Services, Inc.",27Q,1194
20377,Omni Air International LLC,X9,16736
21161,"Swift Air, LLC",09Q,1130
20372,Kalitta Charters II,KLQ,6774
21635,CFM Inc d/b/a Contour Airlines,LF,1189
20422,Sun Country Airlines d/b/a MN Airlines,SY,6795
20447,USA Jet Airlines Inc.,U7,6912
20190,Southern Air Inc.,9S,6841
19930,Alaska Airlines Inc.,AS,6031
20237,Trans States Airlines,AX,6904
20225,Peninsula Airways Inc.,KS,6975
20358,Great Lakes Airlines,ZK,6932
21599,Boutique Air,4B,1177
20500,GoJet Airlines LLC d/b/a United Express,G7,7041
20304,SkyWest Airlines Inc.,OO,6700
20452,Republic Airlines,YX,6003
20436,Frontier Airlines Inc.,F9,6460
20107,Federal Express Corporation,FX,6200
20416,Spirit Air Lines,NK,6830
20378,Mesa Airlines Inc.,YV,6689
20398,Envoy Air,MQ,6820
20366,ExpressJet Airlines Inc.,EV,6085
19917,United Parcel Service,5X,6910
20363,Endeavor Air Inc.,9E,7024
21167,Compass Airlines,CP,1131
21477,Via Airlines d/b/a Charter Air Transport,1AQ,1158
19687,Horizon Air,QX,6580
20263,Empire Airlines Inc.,EM,6299
