AIRLINE_ID,ORIGIN_AIRPORT_ID,DEST_AIRPORT_ID,DISTANCE,RAMP_TO_RAMP,AIR_TIME,DEPARTURES_SCHEDULED,DEPARTURES_PERFORMED,PAYLOAD,SEATS,PASSENGERS,FREIGHT,MAIL,YEAR,QUARTER,MONTH,DISTANCE_GROUP,CLASS
20409,12954,11292,854,124,107,0,1,37400,150,146,0,0,2017,2,6,2,F
21171,11292,14771,967,144,125,0,1,37822,119,117,0,0,2017,2,6,2,F
21171,14771,11292,967,162,121,0,1,37822,119,119,0,0,2017,2,6,2,F
21080,11423,10325,604,120,108,0,1,5300,8,2,0,0,2017,2,6,2,L
20354,11292,11315,488,91,72,0,1,10841,50,43,0,0,2017,2,6,1,L
20354,11292,12389,576,200,165,0,2,23500,100,41,0,0,2017,2,6,2,L
20354,11315,11292,488,91,82,0,1,10841,50,35,0,0,2017,2,6,1,L
20354,11503,15016,889,131,116,0,1,12659,50,22,0,0,2017,2,6,2,L
20354,15016,11503,889,143,124,0,1,10808,50,38,0,0,2017,2,6,2,L
20354,12544,11503,1464,206,196,0,1,12659,50,0,0,0,2017,2,6,3,L
20201,10397,11292,1199,178,168,0,1,21458,0,0,800,0,2017,2,6,3,P
20201,11292,11996,1278,181,167,0,1,21458,0,0,0,0,2017,2,6,3,P
20368,11109,15570,761,132,120,0,1,95000,215,156,0,0,2017,2,6,2,L
20368,12889,11109,604,96,72,0,1,95000,215,0,0,0,2017,2,6,2,L
21352,10372,10800,725,122,113,0,1,2000,8,3,0,0,2017,2,6,2,L
21352,10800,11503,735,234,210,0,2,4000,16,4,0,0,2017,2,6,2,L
21352,11503,10800,735,233,209,0,2,4000,16,3,0,0,2017,2,6,2,L
21352,14869,10372,292,54,47,0,1,2000,8,2,0,0,2017,2,6,1,L
19805,11292,14107,602,164,88,0,1,51700,187,62,0,0,2017,2,6,2,L
19805,14100,11292,1558,260,216,0,1,51700,187,56,0,0,2017,2,6,4,L
19790,10397,11109,1184,169,152,0,1,49760,199,160,0,0,2017,2,6,3,F
19790,10397,11292,1199,212,172,0,1,34446,132,30,0,0,2017,2,6,3,F
19790,10397,11292,1199,174,156,0,1,50700,192,150,14,39,2017,2,6,3,F
19790,11109,10397,1184,166,148,0,1,49760,199,160,0,0,2017,2,6,3,F
19790,11109,11298,592,91,75,0,1,38879,160,139,0,0,2017,2,6,2,F
19790,11122,11292,230,83,54,0,1,29900,110,103,492,0,2017,2,6,1,F
19790,11292,10397,1199,153,132,0,1,34446,132,4,0,0,2017,2,6,3,F
19790,11292,10397,1199,173,152,0,1,50700,192,129,0,0,2017,2,6,3,F
19790,11292,10397,1199,167,143,0,1,49760,72,62,0,0,2017,2,6,3,L
19790,11292,11193,1069,142,128,0,1,49760,72,0,0,0,2017,2,6,3,L
19790,11292,11433,1123,158,137,0,1,32870,149,148,0,0,2017,2,6,3,F
19790,11292,11775,483,152,126,0,1,38470,158,150,32,0,2017,2,6,1,F
