
1)
city_name         | state_name | airport |                   unique_carrier_name                   |   sum
---------------------------+------------+---------+---------------------------------------------------------+---------
 Denver, CO                | Denver, CO | DEN     | Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways |    2700
 Eagle, CO                 | Denver, CO | EGE     | Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways |      50
 Colorado Springs, CO      | Denver, CO | COS     | Alaska Airlines Inc.                                    |     178
 Denver, CO                | Denver, CO | DEN     | Alaska Airlines Inc.                                    |   23883
 Colorado Springs, CO      | Denver, CO | COS     | Allegiant Air                                           |    3023
 Denver, CO                | Denver, CO | DEN     | Allegiant Air                                           |    2028
 Grand Junction, CO        | Denver, CO | GJT     | Allegiant Air                                           |    1950
 Colorado Springs, CO      | Denver, CO | COS     | American Airlines Inc.                                  |   17620
 Denver, CO                | Denver, CO | DEN     | American Airlines Inc.                                  |  130092
 Eagle, CO                 | Denver, CO | EGE     | American Airlines Inc.                                  |    3584
 Denver, CO                | Denver, CO | DEN     | Ameristar Air Cargo                                     |       0
 Aspen, CO                 | Denver, CO | ASE     | Avjet Corporation                                       |       8
 Eagle, CO                 | Denver, CO | EGE     | Avjet Corporation                                       |      16
 Alamosa, CO               | Denver, CO | ALS     | Boutique Air                                            |   12978
 Cortez, CO                | Denver, CO | CEZ     | Boutique Air                                            |    1435
 Denver, CO                | Denver, CO | DEN     | Boutique Air                                            |   12832
 Denver, CO                | Denver, CO | DEN     | CFM Inc d/b/a Contour Airlines                          |      16
 Grand Junction, CO        | Denver, CO | GJT     | Compass Airlines                                        |       0
 Colorado Springs, CO      | Denver, CO | COS     | Delta Air Lines Inc.                                    |    4992
 Denver, CO                | Denver, CO | DEN     | Delta Air Lines Inc.                                    |  106279
 Durango, CO               | Denver, CO | DRO     | Empire Airlines Inc.                                    |    3750
 Denver, CO                | Denver, CO | DEN     | Endeavor Air Inc.                                       |     152
 Grand Junction, CO        | Denver, CO | GJT     | Envoy Air                                               |    6641
 Montrose/Delta, CO        | Denver, CO | MTJ     | Envoy Air                                               |     250
 Colorado Springs, CO      | Denver, CO | COS     | ExpressJet Airlines Inc.                                |    1514
 Denver, CO                | Denver, CO | DEN     | ExpressJet Airlines Inc.                                |      50
 Montrose/Delta, CO        | Denver, CO | MTJ     | ExpressJet Airlines Inc.                                |    1150
 Colorado Springs, CO      | Denver, CO | COS     | Federal Express Corporation                             |     420
 Denver, CO                | Denver, CO | DEN     | Federal Express Corporation                             |   14130
